VideoID,Comment
Oj6SlpH0wz4,Pakkaki dhengesaadu 😂😂
Oj6SlpH0wz4,😂
Oj6SlpH0wz4,😂😂
Oj6SlpH0wz4,Paapam edho cepdam anukunnadu😅😅😅😂😂
Oj6SlpH0wz4,Monna chiru tidthe apudu mari emaindira jr fans gallara?
Oj6SlpH0wz4,Anna opika paturi plz
UtdTxpcTPBk,Jai ntr😊
UtdTxpcTPBk,Hi mahider aniya nenu me fan okasari memalini meet awavcha nenu mimicry artist
UtdTxpcTPBk,Jai NTR ❤
UtdTxpcTPBk,Kannada ntr fans
UtdTxpcTPBk,Jai NTR
UtdTxpcTPBk,Prabhas Pre release event ki lakh lovatharu kadha bro only Prabhas
UtdTxpcTPBk,Jai ntr 💪💪💪💪💪💪🙏🙏🙏
UtdTxpcTPBk,Jai NTR 💪💪💪
UtdTxpcTPBk,Jai N T R ❤❤❤❤
UtdTxpcTPBk,Devaraaaaa❤
UtdTxpcTPBk,❤❤❤
UtdTxpcTPBk,Only Ramcharan ☝🏻☝🏻☝🏻👑👑👑👑👑👑🤙🏻🤙🏻🤙🏻🤙🏻
UtdTxpcTPBk,Jai NTR 🔥💛💛💛💛💛💛💛💛💜💜💚
UtdTxpcTPBk,Anna nenu
UtdTxpcTPBk,"Yedemaina yevaremanna ..bulbul gaadu,ABN gaadu,pappu gaadu ,ravvantha reddyni use chesukuni  valla powerni chupincharu bro😢😢😢"
UtdTxpcTPBk,Digulu padalsina pniledu yidi NTR anna powe ni project chesthundi...jai NTR anna...❤❤❤❤
UtdTxpcTPBk,Success meet ni.. outdoor lo pettamdi
UtdTxpcTPBk,Movie team kavalne chesimdhi...pan India cinima 😡😡
UtdTxpcTPBk,"Man Of Masses❤💥🥵
Mass Fan s ❤‍🔥⚡✊🏻"
UtdTxpcTPBk,Jay NTR
UtdTxpcTPBk,So govt de wrong
UtdTxpcTPBk,NTR ❤ ANNA 🎉
UtdTxpcTPBk,NTR ANTE రేంజ్ చాలా ఎక్కువ రేవంత్ రెడ్డి అన్నా పోలీస్ లను ఎక్కువ పెట్టేది ఉండే
UtdTxpcTPBk,Mahidhar bro mi rivew chala true g untadhi bro
UtdTxpcTPBk,Ananthapur Leda kurnool lo pedithe anthe inka
UtdTxpcTPBk,Nice information Anna
UtdTxpcTPBk,Man of masses NTR Anna 💥 🔥
UtdTxpcTPBk,Brother meeru devara ticket tiskunaraa ??
UtdTxpcTPBk,Ntr troll chese  mega and allu gaani fans jaathini dengutham 27th Pushpa erripushpam ithaadu🥵🤫🤫
UtdTxpcTPBk,Planning cancel mian Chandra Babu Naidu corporate criminal politics because cancelled
UtdTxpcTPBk,Chustam kaani subscribe chesukom
UtdTxpcTPBk,Jai NTR anna
UtdTxpcTPBk,ఆంధ్రావాలా రికార్డు బ్రేక్ అయిపోయి ను ఆంధ్రాలో పెట్టుంటే ❤❤❤ జై ఎన్టీఆర్
UtdTxpcTPBk,Jai ntr❤❤❤
UtdTxpcTPBk,"50,000 fan's vacharu bro"
UtdTxpcTPBk,Ntr ki outdoor evaru
UtdTxpcTPBk,పొలిటికల్ గేమ్ టీడీపీ సాంగ్ అయితే దేవర ముంగతా నువ్వు ఎంత Box office King
UtdTxpcTPBk,Incapable govt..
UtdTxpcTPBk,JAI NTR Annayya 🔥🔥🔥🔥🔥
UtdTxpcTPBk,Rainy season lo outdoor Ela plan chestaru nayana
UtdTxpcTPBk,I'm extremely excited for Devara 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
UtdTxpcTPBk,రేవంత్ రెడ్డి ప్రభుత్వం చెత్త ప్రభుత్వం ( జై తారక్
UtdTxpcTPBk,anna NTR event AP lo chastha inka huge crowd vostharu miku andhrawala gurthunda
UtdTxpcTPBk,jai NTR
UtdTxpcTPBk,❤❤❤❤❤ Jai NTR annaya ❤❤❤❤
UtdTxpcTPBk,Jai NTR Anayya ❤
UtdTxpcTPBk,Jai ntr🔥🔥🔥
